model,coef_ai,se,pvalue,n,r2
M1 bivariate,0.04595598904885047,0.009186958490202655,5.664821067752572e-07,23722,0.001141134983596026
M2 + experience,0.06569866090414793,0.0091925873685776,8.87483626155521e-13,23722,0.014633939364716353
M3 + role FE (main),0.06275587155450975,0.009335185618089967,1.7862140952881558e-11,23722,0.018913865758490744
M3 robustness (exp>5),0.07851886109969176,0.010452430973524812,5.82222921070808e-14,17979,0.017911922086497167
